Выборка размер среднее отклонение коэффициент_вариации
1 1000 1.79413e+09 1.18105e+09 0.658287
2 1000 1.54699e+09 1.1153e+09 0.720953
3 1000 2.23634e+09 1.17283e+09 0.524444
4 1000 2.05627e+09 1.34579e+09 0.654484
5 1000 1.63747e+09 1.3432e+09 0.820291
6 1000 2.13523e+09 1.25389e+09 0.587242
7 1000 2.25851e+09 1.04958e+09 0.464722
8 1000 1.98353e+09 1.39495e+09 0.703269
9 1000 2.06746e+09 1.27154e+09 0.615026
10 1000 2.61864e+09 1.30083e+09 0.496757
11 1000 1.48773e+09 1.23931e+09 0.833019
12 1000 2.86066e+09 1.0578e+09 0.369774
13 1000 2.02337e+09 1.16626e+09 0.576393
14 1000 2.04891e+09 1.25261e+09 0.611356
15 1000 2.41812e+09 1.41378e+09 0.584659
16 1000 1.72523e+09 1.15438e+09 0.669115
17 1000 1.84473e+09 1.18151e+09 0.640478
18 1000 2.25693e+09 1.21281e+09 0.537372
19 1000 2.50501e+09 1.07189e+09 0.427898
20 1000 2.15106e+09 1.08748e+09 0.505554
