sample frequency block_frequency runs longest_run serial
1 1.78288e-28 5.06279e-07 0 6.10416e-144 5.7637e-174
2 3.54965e-08 4.59853e-09 0 5.50055e-29 5.41101e-33
3 5.43464e-05 1 0 2.6214e-69 2.31893e-16
4 0.13409 1 2.16101e-08 2.97612e-18 8.97202e-57
5 0.858028 0.999959 2.14197e-11 3.69079e-103 3.11126e-30
6 4.78307e-21 1 0 7.27513e-130 1.7229e-50
7 2.59432e-17 0.935522 0 2.14906e-43 5.56343e-22
8 9.54254e-05 2.38273e-06 5.30498e-47 2.06843e-121 2.12098e-97
9 1.60597e-34 0.998925 0 6.26609e-29 1.54405e-42
10 4.81732e-28 1.12218e-05 0 4.38225e-74 5.83403e-78
11 4.07502e-05 0.999999 0 7.70112e-46 6.57747e-43
12 3.27584e-12 1 0 7.772e-54 4.05301e-119
13 4.54212e-11 1 0 8.75864e-37 5.7367e-20
14 0.137019 0.533552 9.3881e-15 3.59678e-19 5.48354e-52
15 4.46676e-22 0.999915 0 2.92932e-103 2.23614e-40
16 1.7402e-35 2.16327e-33 0 6.79206e-133 2.9738e-100
17 2.74554e-16 0.934124 0 2.70249e-59 4.77878e-21
18 0.206453 1 7.9343e-09 1.44636e-30 9.44035e-17
19 2.28965e-43 1 0 2.27723e-50 6.20201e-73
20 1.43094e-15 0.0046876 0 7.76722e-39 1.50222e-52
