sample frequency block_frequency runs longest_run serial
1 0.325179 0.344979 0.484051 0.147679 0.275531
2 0.176113 0.415731 0.531802 0.161186 0.0204786
3 0.325179 0.918854 0.391076 0.0632813 0.43364
4 0.176113 0.186717 0.969003 0.289181 0.471857
5 0.840506 0.842411 0.999872 0.753711 0.139406
6 0.158917 0.0813272 0.899385 0.753172 0.0958963
7 0.383172 0.365866 0.859559 0.0422514 0.150172
8 0.427309 0.184863 0.737975 0.88527 0.205815
9 1 0.66604 0.918142 0.368043 0.22693
10 1 0.24223 0.066636 0.709147 0.00391022
11 0.325179 0.403428 0.604659 0.993016 0.685043
12 0.884439 0.764021 0.521883 0.622741 0.618045
13 0.0718552 0.232559 0.329311 0.587377 0.0935983
14 0.00729036 0.652955 0.565912 0.670096 0.0506024
15 0.560986 0.758447 0.982144 0.0317791 0.0778608
16 0.389301 0.462943 0.47007 0.855853 0.442951
17 0.599252 0.133252 0.703524 0.726006 0.0989042
18 0.114927 0.279546 0.910343 0.649935 0.366041
19 0.591505 0.668635 0.575363 0.174199 0.0455003
20 0.875619 0.0180552 0.476826 0.992207 0.0392388
