Выборка размер среднее отклонение коэффициент_вариации
1 1000 2.11712e+09 1.25387e+09 0.592255
2 1000 2.13797e+09 1.23372e+09 0.577053
3 1000 2.12826e+09 1.22034e+09 0.573399
4 1000 2.20485e+09 1.24125e+09 0.562963
5 1000 2.14077e+09 1.22855e+09 0.573882
6 1000 2.19726e+09 1.23656e+09 0.56277
7 1000 2.14682e+09 1.22404e+09 0.570164
8 1000 2.20115e+09 1.22854e+09 0.558133
9 1000 2.12903e+09 1.25483e+09 0.589391
10 1000 2.16866e+09 1.2728e+09 0.586909
11 1000 2.15379e+09 1.24055e+09 0.575985
12 1000 2.16432e+09 1.23612e+09 0.571135
13 1000 2.21079e+09 1.25976e+09 0.569825
14 1000 2.10459e+09 1.24955e+09 0.593727
15 1000 2.15658e+09 1.23967e+09 0.574832
16 1000 2.12466e+09 1.23248e+09 0.580081
17 1000 2.12106e+09 1.25208e+09 0.590308
18 1000 2.11784e+09 1.21423e+09 0.573334
19 1000 2.12908e+09 1.24245e+09 0.583563
20 1000 2.12869e+09 1.24591e+09 0.585295
